tipo,activo,from,open,close,max,min,volume
turbo,SP500-OTC,1788340260,7646.059405,7647.873785,7649.363325,7645.849825,0
turbo,SP500-OTC,1788340320,7647.009545,7646.711645,7648.515445,7645.731835,0
turbo,SP500-OTC,1788340380,7646.710455,7641.545405,7646.861595,7641.545405,0
turbo,SP500-OTC,1788340440,7641.530055,7639.081245,7642.894545,7638.951445,0
turbo,SP500-OTC,1788340500,7639.070955,7647.754365,7648.893865,7638.381955,0
turbo,SP500-OTC,1788340560,7647.745215,7642.397395,7648.163975,7641.128675,0
turbo,SP500-OTC,1788340620,7642.404815,7638.448905,7642.404815,7637.882985,0
turbo,SP500-OTC,1788340680,7638.450215,7637.789865,7639.087595,7636.879275,0
turbo,SP500-OTC,1788340740,7637.781205,7635.165415,7638.260455,7634.552185,0
turbo,SP500-OTC,1788340800,7635.171625,7632.805085,7636.800055,7632.619875,0
turbo,SP500-OTC,1788340860,7632.799435,7633.100245,7635.949425,7631.762695,0
turbo,SP500-OTC,1788340920,7633.109185,7631.583735,7633.993955,7631.017475,0
turbo,SP500-OTC,1788340980,7631.868235,7632.294325,7632.544995,7627.309305,0
turbo,SP500-OTC,1788341040,7632.296265,7632.748185,7632.863345,7627.597965,0
turbo,SP500-OTC,1788341100,7632.752985,7635.040775,7635.288985,7631.646485,0
turbo,SP500-OTC,1788341160,7635.045375,7640.452695,7641.025395,7635.030605,0
turbo,SP500-OTC,1788341220,7640.725085,7632.278375,7640.875455,7632.278375,0
turbo,SP500-OTC,1788341280,7631.973105,7629.832355,7632.627075,7629.832355,0
turbo,SP500-OTC,1788341340,7629.825845,7629.535295,7631.362335,7627.865035,0
turbo,SP500-OTC,1788341400,7629.531845,7625.983915,7631.449425,7625.714975,0
turbo,SP500-OTC,1788341460,7625.981915,7625.813015,7626.120345,7622.772125,0
turbo,SP500-OTC,1788341520,7625.802085,7626.422095,7627.432605,7624.889035,0
turbo,SP500-OTC,1788341580,7626.427345,7622.660265,7627.150705,7622.229695,0
turbo,SP500-OTC,1788341640,7622.638955,7621.330585,7623.062285,7619.699855,0
turbo,SP500-OTC,1788341700,7621.333025,7622.140125,7624.606825,7621.030265,0
turbo,SP500-OTC,1788341760,7622.007755,7625.035465,7625.195735,7621.120745,0
turbo,SP500-OTC,1788341820,7625.044375,7622.574985,7625.660785,7622.295855,0
turbo,SP500-OTC,1788341880,7622.744655,7626.045165,7627.229905,7621.658885,0
turbo,SP500-OTC,1788341940,7626.051705,7618.679095,7626.183855,7618.679095,0
turbo,SP500-OTC,1788342000,7618.889925,7621.172665,7621.727675,7617.753325,0
turbo,SP500-OTC,1788342060,7621.170165,7619.266515,7621.181035,7617.892485,0
turbo,SP500-OTC,1788342120,7619.269375,7622.760995,7622.899745,7617.692945,0
turbo,SP500-OTC,1788342180,7622.742735,7630.800365,7630.800365,7622.154815,0
turbo,SP500-OTC,1788342240,7630.809865,7629.707175,7631.236945,7626.707985,0
turbo,SP500-OTC,1788342300,7629.712825,7629.830905,7630.122945,7626.575865,0
turbo,SP500-OTC,1788342360,7629.694825,7632.270635,7633.063925,7629.038475,0
turbo,SP500-OTC,1788342420,7632.278515,7628.861795,7632.278515,7627.325165,0
turbo,SP500-OTC,1788342480,7628.854725,7624.792675,7630.402665,7624.778755,0
turbo,SP500-OTC,1788342540,7624.785465,7625.866075,7627.092065,7623.452425,0
turbo,SP500-OTC,1788342600,7625.871245,7621.665815,7626.816535,7621.270745,0
turbo,SP500-OTC,1788342660,7621.509785,7621.443435,7624.593775,7620.470445,0
turbo,SP500-OTC,1788342720,7621.439225,7623.308255,7624.947845,7621.439225,0
turbo,SP500-OTC,1788342780,7623.315815,7626.457885,7626.457885,7622.625615,0
turbo,SP500-OTC,1788342840,7626.464645,7625.562075,7629.696125,7625.491905,0
