tipo,activo,from,open,close,max,min,volume
turbo,AIG-OTC,1788130320,74.7375,74.6215,74.7635,74.6005,0
turbo,AIG-OTC,1788130380,74.6175,74.6805,74.6805,74.5835,0
turbo,AIG-OTC,1788130440,74.6795,74.7805,74.8025,74.6745,0
turbo,AIG-OTC,1788130500,74.7785,74.6995,74.7815,74.6655,0
turbo,AIG-OTC,1788130560,74.7085,74.8885,74.9025,74.7015,0
turbo,AIG-OTC,1788130620,74.8905,74.9105,74.9135,74.8605,0
turbo,AIG-OTC,1788130680,74.9055,74.8055,74.9515,74.7935,0
turbo,AIG-OTC,1788130740,74.8035,74.9295,74.9595,74.7985,0
turbo,AIG-OTC,1788130800,74.9325,74.7665,74.9485,74.7645,0
turbo,AIG-OTC,1788130860,74.7805,74.8665,74.8725,74.7715,0
turbo,AIG-OTC,1788130920,74.8655,74.8335,74.8795,74.8085,0
turbo,AIG-OTC,1788130980,74.8425,74.8625,74.9175,74.8375,0
turbo,AIG-OTC,1788131040,74.8635,75.0215,75.0365,74.8445,0
turbo,AIG-OTC,1788131100,75.0205,75.1125,75.1205,75.0135,0
turbo,AIG-OTC,1788131160,75.1115,75.0025,75.1115,75.0025,0
turbo,AIG-OTC,1788131220,75.0045,75.0315,75.0345,74.9105,0
turbo,AIG-OTC,1788131280,75.0305,75.0255,75.0525,75.0145,0
turbo,AIG-OTC,1788131340,75.0295,75.1135,75.1495,75.0295,0
turbo,AIG-OTC,1788131400,75.1115,75.0695,75.1575,75.0695,0
turbo,AIG-OTC,1788131460,75.0705,75.3065,75.3455,75.0695,0
turbo,AIG-OTC,1788131520,75.3105,75.5135,75.5195,75.3015,0
turbo,AIG-OTC,1788131580,75.5125,75.5865,75.6035,75.4915,0
turbo,AIG-OTC,1788131640,75.5845,75.5105,75.5905,75.4995,0
turbo,AIG-OTC,1788131700,75.5015,75.4585,75.5555,75.4535,0
turbo,AIG-OTC,1788131760,75.4615,75.4395,75.4675,75.4085,0
turbo,AIG-OTC,1788131820,75.4355,75.5575,75.5685,75.4195,0
turbo,AIG-OTC,1788131880,75.5585,75.6735,75.7465,75.5345,0
turbo,AIG-OTC,1788131940,75.6765,75.7205,75.7375,75.6745,0
turbo,AIG-OTC,1788132000,75.7235,75.6535,75.7305,75.6485,0
turbo,AIG-OTC,1788132060,75.6575,75.7805,75.8085,75.6495,0
turbo,AIG-OTC,1788132120,75.7845,75.7815,75.8175,75.7345,0
turbo,AIG-OTC,1788132180,75.7795,75.6955,75.7815,75.6905,0
turbo,AIG-OTC,1788132240,75.6905,75.6925,75.7845,75.6755,0
turbo,AIG-OTC,1788132300,75.6885,75.6965,75.7675,75.6855,0
turbo,AIG-OTC,1788132360,75.6945,75.7525,75.7605,75.6635,0
turbo,AIG-OTC,1788132420,75.7515,75.8005,75.8085,75.7175,0
turbo,AIG-OTC,1788132480,75.7995,75.8025,75.8075,75.7485,0
turbo,AIG-OTC,1788132540,75.8065,75.7565,75.8285,75.6835,0
turbo,AIG-OTC,1788132600,75.7525,75.6955,75.7605,75.6145,0
turbo,AIG-OTC,1788132660,75.6915,75.6625,75.7185,75.6435,0
turbo,AIG-OTC,1788132720,75.6595,75.7665,75.7665,75.6575,0
turbo,AIG-OTC,1788132780,75.7875,75.7715,75.7915,75.7435,0
turbo,AIG-OTC,1788132840,75.7695,75.6545,75.7815,75.6435,0
turbo,AIG-OTC,1788132900,75.6365,75.7335,75.7465,75.6205,0
turbo,AIG-OTC,1788132960,75.7345,75.7345,75.8255,75.6775,0
turbo,AIG-OTC,1788133020,75.7315,75.7435,75.7795,75.6995,0
turbo,AIG-OTC,1788133080,75.7465,75.7445,75.8385,75.7415,0
turbo,AIG-OTC,1788133140,75.7415,75.6975,75.7495,75.6885,0
turbo,AIG-OTC,1788133200,75.7075,75.7575,75.7835,75.6925,0
turbo,AIG-OTC,1788133260,75.7615,75.8175,75.8315,75.7415,0
turbo,AIG-OTC,1788133320,75.8145,75.8535,75.8565,75.7755,0
turbo,AIG-OTC,1788133380,75.8505,75.7635,75.8675,75.7245,0
turbo,AIG-OTC,1788133440,75.7665,75.9005,75.9005,75.7415,0
turbo,AIG-OTC,1788133500,75.9035,75.8645,75.9435,75.8555,0
turbo,AIG-OTC,1788133560,75.8625,75.8855,75.8975,75.8245,0
turbo,AIG-OTC,1788133620,75.8815,75.9625,75.9725,75.8315,0
turbo,AIG-OTC,1788133680,75.9655,75.9205,75.9915,75.8995,0
turbo,AIG-OTC,1788133740,75.9235,76.0115,76.0115,75.9185,0
turbo,AIG-OTC,1788133800,76.0085,76.1165,76.1225,75.9785,0
turbo,AIG-OTC,1788133860,76.1125,76.1275,76.2315,76.1125,0
turbo,AIG-OTC,1788133920,76.1255,76.2765,76.2765,76.0895,0
turbo,AIG-OTC,1788133980,76.2805,76.3975,76.4575,76.2725,0
turbo,AIG-OTC,1788134040,76.4005,76.2315,76.4045,76.1975,0
turbo,AIG-OTC,1788134100,76.2295,76.2095,76.2335,76.1475,0
turbo,AIG-OTC,1788134160,76.2125,76.1285,76.2475,76.0975,0
turbo,AIG-OTC,1788134220,76.1295,76.1335,76.1695,76.0185,0
turbo,AIG-OTC,1788134280,76.1375,76.1245,76.1895,76.1115,0
turbo,AIG-OTC,1788134340,76.1225,76.1225,76.1505,76.0855,0
turbo,AIG-OTC,1788134400,76.1275,76.2205,76.2355,76.1065,0
turbo,AIG-OTC,1788134460,76.2195,76.2855,76.3165,76.1615,0
turbo,AIG-OTC,1788134520,76.2875,76.3445,76.4045,76.2875,0
turbo,AIG-OTC,1788134580,76.3405,76.1855,76.3505,76.1825,0
turbo,AIG-OTC,1788134640,76.1825,76.0895,76.1895,76.0595,0
turbo,AIG-OTC,1788134700,76.0925,76.1625,76.1625,76.0875,0
turbo,AIG-OTC,1788134760,76.1655,76.0755,76.1875,76.0295,0
turbo,AIG-OTC,1788134820,76.0785,75.9695,76.0785,75.9495,0
turbo,AIG-OTC,1788134880,75.9725,76.0725,76.1085,75.9055,0
turbo,AIG-OTC,1788134940,76.0675,76.0645,76.1695,76.0455,0
turbo,AIG-OTC,1788135000,76.0665,75.8765,76.0845,75.8315,0
turbo,AIG-OTC,1788135060,75.8805,75.9645,75.9665,75.8345,0
turbo,AIG-OTC,1788135120,75.9615,76.0605,76.0725,75.9525,0
turbo,AIG-OTC,1788135180,76.0575,76.0705,76.1115,76.0505,0
turbo,AIG-OTC,1788135240,76.0755,76.0035,76.0755,75.9995,0
turbo,AIG-OTC,1788135300,76.0075,76.0635,76.0775,75.9625,0
turbo,AIG-OTC,1788135360,76.0625,76.1465,76.1585,76.0515,0
turbo,AIG-OTC,1788135420,76.1425,76.1395,76.1435,76.0565,0
turbo,AIG-OTC,1788135480,76.1395,75.9665,76.1445,75.9485,0
turbo,AIG-OTC,1788135540,75.9655,75.8805,75.9755,75.8805,0
turbo,AIG-OTC,1788135600,75.8815,75.8505,75.9105,75.8115,0
turbo,AIG-OTC,1788135660,75.8535,75.8055,75.8805,75.7665,0
turbo,AIG-OTC,1788135720,75.8015,75.8965,75.9305,75.7225,0
turbo,AIG-OTC,1788135780,75.8585,75.9335,75.9575,75.8235,0
turbo,AIG-OTC,1788135840,75.9355,75.8215,75.9595,75.8115,0
turbo,AIG-OTC,1788135900,75.8225,75.8345,75.8425,75.7465,0
turbo,AIG-OTC,1788135960,75.8385,75.9455,75.9525,75.8265,0
turbo,AIG-OTC,1788136020,75.9445,75.8445,75.9565,75.8445,0
turbo,AIG-OTC,1788136080,75.8435,75.9785,75.9815,75.8355,0
turbo,AIG-OTC,1788136140,75.9805,75.9575,76.0635,75.9575,0
turbo,AIG-OTC,1788136200,75.9585,75.8365,75.9855,75.8015,0
turbo,AIG-OTC,1788136260,75.8375,75.8305,75.8445,75.7535,0
turbo,AIG-OTC,1788136320,75.8275,76.0265,76.0375,75.8025,0
turbo,AIG-OTC,1788136380,76.0315,75.9935,76.0425,75.9005,0
turbo,AIG-OTC,1788136440,75.9945,76.0865,76.1125,75.9635,0
