tipo,activo,from,open,close,max,min,volume
turbo,COFFEE-OTC,1788130260,321.612365,321.482425,321.862175,321.274615,0
turbo,COFFEE-OTC,1788130320,321.477015,320.393985,321.486965,320.390195,0
turbo,COFFEE-OTC,1788130380,320.389105,320.819485,320.819485,320.208565,0
turbo,COFFEE-OTC,1788130440,320.810515,320.702485,321.046325,320.530665,0
turbo,COFFEE-OTC,1788130500,320.704295,320.884995,320.899745,320.485855,0
turbo,COFFEE-OTC,1788130560,320.883255,320.990305,321.392155,320.730005,0
turbo,COFFEE-OTC,1788130620,320.983235,320.253625,321.017765,320.160925,0
turbo,COFFEE-OTC,1788130680,320.247075,320.351445,320.506575,320.105185,0
turbo,COFFEE-OTC,1788130740,320.350765,320.162715,320.688175,319.934695,0
turbo,COFFEE-OTC,1788130800,320.159415,319.750885,320.479625,319.733475,0
turbo,COFFEE-OTC,1788130860,319.743365,320.547285,320.772725,319.715615,0
turbo,COFFEE-OTC,1788130920,320.557675,321.251505,321.289005,320.478195,0
turbo,COFFEE-OTC,1788130980,321.260675,322.039085,322.240075,321.231565,0
turbo,COFFEE-OTC,1788131040,322.037785,322.685965,323.065255,322.034635,0
turbo,COFFEE-OTC,1788131100,322.688155,322.857585,322.982325,322.552055,0
turbo,COFFEE-OTC,1788131160,322.865805,323.642195,323.666755,322.735375,0
turbo,COFFEE-OTC,1788131220,323.631885,323.087655,323.734825,323.087655,0
turbo,COFFEE-OTC,1788131280,323.079155,322.871665,323.351295,322.871665,0
turbo,COFFEE-OTC,1788131340,322.868005,322.298505,322.868005,321.850195,0
turbo,COFFEE-OTC,1788131400,322.316955,322.022295,322.796075,321.894755,0
turbo,COFFEE-OTC,1788131460,322.016835,321.091905,322.082795,321.062625,0
turbo,COFFEE-OTC,1788131520,321.085525,321.363745,321.506315,321.070215,0
turbo,COFFEE-OTC,1788131580,321.354745,321.665905,321.665905,320.849795,0
turbo,COFFEE-OTC,1788131640,321.665345,320.752955,321.665345,320.681445,0
turbo,COFFEE-OTC,1788131700,320.757845,320.437305,320.872715,320.169075,0
turbo,COFFEE-OTC,1788131760,320.529905,320.601495,321.095725,320.529905,0
turbo,COFFEE-OTC,1788131820,320.603815,320.716895,320.754405,320.332285,0
turbo,COFFEE-OTC,1788131880,320.723255,320.639355,321.172885,320.602585,0
turbo,COFFEE-OTC,1788131940,320.850545,320.781455,320.985795,320.693685,0
turbo,COFFEE-OTC,1788132000,320.787415,320.582325,320.790015,320.235705,0
turbo,COFFEE-OTC,1788132060,320.575245,320.900005,321.170685,320.481825,0
turbo,COFFEE-OTC,1788132120,320.910375,320.372455,320.965925,320.288635,0
turbo,COFFEE-OTC,1788132180,320.369565,319.960755,320.699705,319.916495,0
turbo,COFFEE-OTC,1788132240,319.960465,319.401475,320.124075,319.395685,0
turbo,COFFEE-OTC,1788132300,319.411415,319.003355,319.733955,318.891465,0
turbo,COFFEE-OTC,1788132360,319.007825,318.277305,319.130685,318.268935,0
turbo,COFFEE-OTC,1788132420,318.272755,318.263835,318.456895,318.152535,0
turbo,COFFEE-OTC,1788132480,318.265735,317.612885,318.270525,317.547515,0
turbo,COFFEE-OTC,1788132540,317.622315,317.785185,318.141245,317.443095,0
turbo,COFFEE-OTC,1788132600,317.787695,317.933375,318.030405,317.611005,0
turbo,COFFEE-OTC,1788132660,317.930925,318.089295,318.352335,317.668455,0
turbo,COFFEE-OTC,1788132720,318.084915,318.077715,318.329665,317.901005,0
turbo,COFFEE-OTC,1788132780,318.018175,317.828145,318.250685,317.709775,0
turbo,COFFEE-OTC,1788132840,317.833155,317.209115,317.833155,317.169565,0
turbo,COFFEE-OTC,1788132900,317.207785,316.013545,317.211155,316.013545,0
turbo,COFFEE-OTC,1788132960,316.017645,315.640085,316.165345,315.634895,0
turbo,COFFEE-OTC,1788133020,315.635605,315.373755,315.635605,315.210465,0
turbo,COFFEE-OTC,1788133080,315.382465,315.230865,315.896175,314.912595,0
turbo,COFFEE-OTC,1788133140,315.224015,314.990225,315.457165,314.974995,0
turbo,COFFEE-OTC,1788133200,315.078405,315.069055,315.190985,314.666125,0
turbo,COFFEE-OTC,1788133260,315.094775,315.171825,315.218785,314.845935,0
turbo,COFFEE-OTC,1788133320,315.181615,315.549625,315.701425,315.002675,0
turbo,COFFEE-OTC,1788133380,315.558235,315.854385,315.868685,315.449575,0
turbo,COFFEE-OTC,1788133440,315.861955,315.176945,315.872695,315.176945,0
turbo,COFFEE-OTC,1788133500,315.175715,315.614245,315.803565,315.155335,0
turbo,COFFEE-OTC,1788133560,315.611875,315.874165,316.055945,315.586525,0
turbo,COFFEE-OTC,1788133620,315.866485,315.194215,316.052165,315.188165,0
turbo,COFFEE-OTC,1788133680,315.199205,314.194005,315.201995,314.110615,0
turbo,COFFEE-OTC,1788133740,314.190305,313.915095,314.206105,313.872295,0
turbo,COFFEE-OTC,1788133800,313.924975,313.659585,314.156705,313.615575,0
turbo,COFFEE-OTC,1788133860,313.649815,313.127115,314.163875,313.123095,0
turbo,COFFEE-OTC,1788133920,313.125545,313.128915,313.181685,312.644365,0
turbo,COFFEE-OTC,1788133980,313.126195,312.338265,313.153585,312.172045,0
turbo,COFFEE-OTC,1788134040,312.345735,311.467075,312.356645,311.467075,0
turbo,COFFEE-OTC,1788134100,311.475455,311.592835,311.779615,311.436545,0
turbo,COFFEE-OTC,1788134160,311.532135,312.360325,312.369055,311.499435,0
turbo,COFFEE-OTC,1788134220,312.364965,312.197735,312.488365,311.991995,0
turbo,COFFEE-OTC,1788134280,312.206535,311.592065,312.295275,311.592065,0
turbo,COFFEE-OTC,1788134340,311.599645,311.874145,312.252835,311.574375,0
turbo,COFFEE-OTC,1788134400,311.878495,311.669875,311.980085,311.657045,0
turbo,COFFEE-OTC,1788134460,311.661505,312.085045,312.169605,311.581305,0
turbo,COFFEE-OTC,1788134520,312.082515,312.358065,312.481775,312.006315,0
turbo,COFFEE-OTC,1788134580,312.363535,312.549075,312.758045,312.326775,0
turbo,COFFEE-OTC,1788134640,312.554505,312.261325,312.713145,312.131485,0
turbo,COFFEE-OTC,1788134700,312.265565,312.450585,312.460555,312.153615,0
