tipo,activo,from,open,close,max,min,volume
turbo,COTTON-OTC,1788130260,87.581605,87.614775,87.672625,87.528695,0
turbo,COTTON-OTC,1788130320,87.621815,87.668735,87.702285,87.531525,0
turbo,COTTON-OTC,1788130380,87.675965,87.515625,87.685955,87.482665,0
turbo,COTTON-OTC,1788130440,87.526385,87.616865,87.639385,87.478285,0
turbo,COTTON-OTC,1788130500,87.608685,87.837285,87.881875,87.537295,0
turbo,COTTON-OTC,1788130560,87.835225,87.642575,87.835225,87.633545,0
turbo,COTTON-OTC,1788130620,87.651945,87.754745,87.816765,87.650745,0
turbo,COTTON-OTC,1788130680,87.745765,87.629405,87.760125,87.586465,0
turbo,COTTON-OTC,1788130740,87.622445,87.686205,87.686205,87.429105,0
turbo,COTTON-OTC,1788130800,87.647465,87.495855,87.656015,87.427865,0
turbo,COTTON-OTC,1788130860,87.505535,87.495175,87.553515,87.437835,0
turbo,COTTON-OTC,1788130920,87.502685,87.412575,87.560865,87.382415,0
turbo,COTTON-OTC,1788130980,87.421225,87.088335,87.431875,87.078965,0
turbo,COTTON-OTC,1788131040,87.103315,86.794395,87.117365,86.734115,0
turbo,COTTON-OTC,1788131100,86.782705,87.029945,87.046065,86.758445,0
turbo,COTTON-OTC,1788131160,87.021875,87.149355,87.177365,87.021875,0
turbo,COTTON-OTC,1788131220,87.161155,87.177415,87.203345,87.071675,0
turbo,COTTON-OTC,1788131280,87.162985,86.794935,87.272285,86.783895,0
turbo,COTTON-OTC,1788131340,86.782705,86.707665,86.787925,86.604005,0
turbo,COTTON-OTC,1788131400,86.713455,86.852905,86.852905,86.633125,0
turbo,COTTON-OTC,1788131460,86.849105,86.835385,86.905605,86.713275,0
turbo,COTTON-OTC,1788131520,86.821995,86.925845,86.974555,86.810315,0
turbo,COTTON-OTC,1788131580,86.923695,87.209105,87.226745,86.899385,0
turbo,COTTON-OTC,1788131640,87.194505,87.256575,87.354895,87.152865,0
turbo,COTTON-OTC,1788131700,87.271745,87.433115,87.464955,87.193915,0
turbo,COTTON-OTC,1788131760,87.447915,87.666175,87.668535,87.443045,0
turbo,COTTON-OTC,1788131820,87.663205,87.561955,87.663205,87.404485,0
turbo,COTTON-OTC,1788131880,87.552125,87.672565,87.696925,87.531075,0
turbo,COTTON-OTC,1788131940,87.658065,87.934985,87.934985,87.625255,0
turbo,COTTON-OTC,1788132000,87.938605,87.684235,87.938605,87.569005,0
turbo,COTTON-OTC,1788132060,87.686665,87.744355,87.867745,87.683625,0
turbo,COTTON-OTC,1788132120,87.744825,87.864965,87.888225,87.719875,0
turbo,COTTON-OTC,1788132180,87.875295,87.974285,88.035555,87.800855,0
turbo,COTTON-OTC,1788132240,87.961415,87.867475,88.051175,87.837065,0
turbo,COTTON-OTC,1788132300,87.860525,87.826665,87.953945,87.788975,0
turbo,COTTON-OTC,1788132360,87.820515,87.708075,87.890805,87.655705,0
turbo,COTTON-OTC,1788132420,87.714905,87.856835,87.885145,87.704595,0
turbo,COTTON-OTC,1788132480,87.853505,87.967155,88.067035,87.848505,0
turbo,COTTON-OTC,1788132540,87.953255,87.913605,88.034745,87.770895,0
turbo,COTTON-OTC,1788132600,87.911795,87.902005,87.949275,87.841195,0
turbo,COTTON-OTC,1788132660,87.909765,88.008935,88.039745,87.872535,0
turbo,COTTON-OTC,1788132720,88.006335,88.113345,88.149755,87.953175,0
turbo,COTTON-OTC,1788132780,88.112935,88.154575,88.252675,88.091315,0
turbo,COTTON-OTC,1788132840,88.147265,88.294045,88.311015,88.074705,0
turbo,COTTON-OTC,1788132900,88.302575,88.450255,88.469485,88.291975,0
turbo,COTTON-OTC,1788132960,88.465495,88.422195,88.468735,88.336615,0
turbo,COTTON-OTC,1788133020,88.420445,88.345995,88.574205,88.312445,0
turbo,COTTON-OTC,1788133080,88.356465,88.478805,88.551205,88.304845,0
turbo,COTTON-OTC,1788133140,88.464065,88.542705,88.688995,88.458385,0
turbo,COTTON-OTC,1788133200,88.551695,88.544705,88.615505,88.386205,0
