tipo,activo,from,open,close,max,min,volume
turbo,EURGBP-OTC,1788130560,0.841925,0.841905,0.842065,0.841895,0
turbo,EURGBP-OTC,1788130620,0.841895,0.841705,0.841905,0.841665,0
turbo,EURGBP-OTC,1788130680,0.841715,0.841895,0.842015,0.841665,0
turbo,EURGBP-OTC,1788130740,0.841885,0.842065,0.842175,0.841825,0
turbo,EURGBP-OTC,1788130800,0.842095,0.841985,0.842115,0.841905,0
turbo,EURGBP-OTC,1788130860,0.842005,0.841935,0.842045,0.841895,0
turbo,EURGBP-OTC,1788130920,0.841895,0.841815,0.841915,0.841745,0
turbo,EURGBP-OTC,1788130980,0.841805,0.842035,0.842035,0.841765,0
turbo,EURGBP-OTC,1788131040,0.842045,0.842255,0.842265,0.842015,0
turbo,EURGBP-OTC,1788131100,0.842245,0.842515,0.842515,0.842205,0
turbo,EURGBP-OTC,1788131160,0.842525,0.842255,0.842555,0.842235,0
turbo,EURGBP-OTC,1788131220,0.842245,0.842185,0.842365,0.842115,0
turbo,EURGBP-OTC,1788131280,0.842195,0.842055,0.842195,0.841995,0
turbo,EURGBP-OTC,1788131340,0.842065,0.842025,0.842165,0.842005,0
turbo,EURGBP-OTC,1788131400,0.841995,0.841735,0.842025,0.841725,0
turbo,EURGBP-OTC,1788131460,0.841675,0.841355,0.841705,0.841335,0
turbo,EURGBP-OTC,1788131520,0.841345,0.840975,0.841435,0.840965,0
turbo,EURGBP-OTC,1788131580,0.840965,0.841125,0.841125,0.840925,0
turbo,EURGBP-OTC,1788131640,0.841145,0.841105,0.841255,0.841055,0
turbo,EURGBP-OTC,1788131700,0.841105,0.841305,0.841375,0.841105,0
turbo,EURGBP-OTC,1788131760,0.841305,0.841005,0.841315,0.840845,0
turbo,EURGBP-OTC,1788131820,0.841045,0.841125,0.841205,0.841045,0
turbo,EURGBP-OTC,1788131880,0.841115,0.841445,0.841505,0.841105,0
turbo,EURGBP-OTC,1788131940,0.841415,0.841305,0.841435,0.841225,0
turbo,EURGBP-OTC,1788132000,0.841315,0.841055,0.841345,0.841015,0
turbo,EURGBP-OTC,1788132060,0.841025,0.841255,0.841315,0.840955,0
turbo,EURGBP-OTC,1788132120,0.841275,0.841275,0.841285,0.841055,0
turbo,EURGBP-OTC,1788132180,0.841285,0.841275,0.841445,0.841265,0
turbo,EURGBP-OTC,1788132240,0.841265,0.841235,0.841295,0.841125,0
turbo,EURGBP-OTC,1788132300,0.841225,0.840815,0.841285,0.840785,0
turbo,EURGBP-OTC,1788132360,0.840845,0.840515,0.841005,0.840495,0
turbo,EURGBP-OTC,1788132420,0.840505,0.840575,0.840675,0.840415,0
turbo,EURGBP-OTC,1788132480,0.840595,0.840885,0.840955,0.840565,0
turbo,EURGBP-OTC,1788132540,0.840875,0.840975,0.840975,0.840865,0
turbo,EURGBP-OTC,1788132600,0.840985,0.840755,0.840985,0.840715,0
turbo,EURGBP-OTC,1788132660,0.840765,0.840875,0.840905,0.840655,0
turbo,EURGBP-OTC,1788132720,0.840865,0.840745,0.840875,0.840715,0
turbo,EURGBP-OTC,1788132780,0.840735,0.840835,0.840965,0.840735,0
turbo,EURGBP-OTC,1788132840,0.840825,0.840635,0.840845,0.840605,0
turbo,EURGBP-OTC,1788132900,0.840645,0.840735,0.840775,0.840505,0
turbo,EURGBP-OTC,1788132960,0.840735,0.840815,0.840905,0.840625,0
turbo,EURGBP-OTC,1788133020,0.840815,0.840735,0.840885,0.840595,0
turbo,EURGBP-OTC,1788133080,0.840725,0.840435,0.840775,0.840415,0
turbo,EURGBP-OTC,1788133140,0.840445,0.840535,0.840555,0.840355,0
turbo,EURGBP-OTC,1788133200,0.840525,0.840465,0.840735,0.840405,0
turbo,EURGBP-OTC,1788133260,0.840475,0.840775,0.840795,0.840465,0
turbo,EURGBP-OTC,1788133320,0.840815,0.840605,0.840915,0.840595,0
turbo,EURGBP-OTC,1788133380,0.840615,0.840605,0.840845,0.840605,0
turbo,EURGBP-OTC,1788133440,0.840605,0.840655,0.840745,0.840515,0
turbo,EURGBP-OTC,1788133500,0.840665,0.840635,0.840695,0.840505,0
turbo,EURGBP-OTC,1788133560,0.840615,0.840835,0.840865,0.840595,0
turbo,EURGBP-OTC,1788133620,0.840835,0.840905,0.841005,0.840825,0
turbo,EURGBP-OTC,1788133680,0.840915,0.841005,0.841045,0.840785,0
turbo,EURGBP-OTC,1788133740,0.840995,0.841085,0.841215,0.840915,0
turbo,EURGBP-OTC,1788133800,0.841075,0.840865,0.841145,0.840865,0
turbo,EURGBP-OTC,1788133860,0.840865,0.840805,0.840955,0.840765,0
turbo,EURGBP-OTC,1788133920,0.840815,0.841125,0.841215,0.840815,0
turbo,EURGBP-OTC,1788133980,0.841115,0.841075,0.841135,0.840945,0
turbo,EURGBP-OTC,1788134040,0.841085,0.841055,0.841135,0.840965,0
turbo,EURGBP-OTC,1788134100,0.841035,0.840795,0.841105,0.840755,0
turbo,EURGBP-OTC,1788134160,0.840785,0.840655,0.840885,0.840625,0
turbo,EURGBP-OTC,1788134220,0.840645,0.840935,0.841015,0.840615,0
turbo,EURGBP-OTC,1788134280,0.840945,0.840855,0.841155,0.840855,0
turbo,EURGBP-OTC,1788134340,0.840865,0.840875,0.840955,0.840845,0
turbo,EURGBP-OTC,1788134400,0.840885,0.840815,0.840945,0.840805,0
