tipo,activo,from,open,close,max,min,volume
turbo,INTEL-OTC,1788130260,72.4445,72.4185,72.9575,72.2445,0
turbo,INTEL-OTC,1788130320,72.4525,72.1215,72.6505,71.8265,0
turbo,INTEL-OTC,1788130380,72.1595,72.1155,72.3415,71.7715,0
turbo,INTEL-OTC,1788130440,72.1515,71.9195,72.3955,71.7775,0
turbo,INTEL-OTC,1788130500,71.9555,72.1205,72.4205,71.8445,0
turbo,INTEL-OTC,1788130560,72.0905,72.4865,72.5765,72.0845,0
turbo,INTEL-OTC,1788130620,72.4555,73.0585,73.2125,72.3465,0
turbo,INTEL-OTC,1788130680,73.0925,72.5165,73.3305,72.4865,0
turbo,INTEL-OTC,1788130740,72.5475,72.8475,73.3985,72.3045,0
turbo,INTEL-OTC,1788130800,72.8825,74.0415,74.0985,72.7215,0
turbo,INTEL-OTC,1788130860,74.0045,74.1095,74.2915,73.6905,0
turbo,INTEL-OTC,1788130920,74.1375,74.3725,74.3725,73.4355,0
turbo,INTEL-OTC,1788130980,74.3365,74.4755,74.7575,74.0025,0
turbo,INTEL-OTC,1788131040,74.5145,74.4485,75.1075,74.4075,0
turbo,INTEL-OTC,1788131100,74.4195,74.1195,74.6875,73.9795,0
turbo,INTEL-OTC,1788131160,74.0865,73.8265,74.7735,73.7855,0
turbo,INTEL-OTC,1788131220,73.8665,73.9205,74.3025,73.6165,0
turbo,INTEL-OTC,1788131280,73.8895,74.3615,74.4695,73.6465,0
turbo,INTEL-OTC,1788131340,74.3225,73.5405,74.4045,73.5115,0
turbo,INTEL-OTC,1788131400,73.5755,72.7675,73.7235,72.4955,0
turbo,INTEL-OTC,1788131460,72.7385,72.5025,72.9545,72.1695,0
turbo,INTEL-OTC,1788131520,72.4745,72.5095,73.2845,72.3605,0
turbo,INTEL-OTC,1788131580,72.5435,72.6985,72.6985,72.0095,0
turbo,INTEL-OTC,1788131640,72.7345,72.9605,73.3285,72.4415,0
