tipo,activo,from,open,close,max,min,volume
turbo,JAPAN225:N,1787946600,65724.88,65777.38,65777.38,65724.88,115
turbo,JAPAN225:N,1787946660,65779.88,65729.9,65784.9,65722.39,82
turbo,JAPAN225:N,1787946720,65732.4,65729.9,65742.4,65724.89,66
turbo,JAPAN225:N,1787946780,65727.4,65722.39,65729.89,65709.88,53
turbo,JAPAN225:N,1787946840,65724.89,65759.89,65764.89,65724.89,87
turbo,JAPAN225:N,1787946900,65757.38,65794.9,65799.88,65754.9,129
turbo,JAPAN225:N,1787946960,65797.38,65827.39,65832.4,65797.38,65
turbo,JAPAN225:N,1787947020,65824.9,65809.88,65824.9,65804.9,32
turbo,JAPAN225:N,1787947080,65812.39,65787.4,65814.9,65772.39,95
turbo,JAPAN225:N,1787947140,65789.89,65749.89,65792.4,65739.88,278
turbo,JAPAN225:N,1787947200,65749.9,65727.39,65764.88,65707.4,124
turbo,JAPAN225:N,1787947260,65727.39,65742.4,65749.89,65727.39,20
turbo,JAPAN225:N,1787947320,65742.4,65757.39,65764.9,65742.4,33
turbo,JAPAN225:N,1787947380,65759.88,65749.9,65764.88,65747.38,18
turbo,JAPAN225:N,1787947440,65749.9,65749.9,65757.4,65749.89,21
turbo,JAPAN225:N,1787947500,65749.9,65734.88,65749.9,65724.89,21
turbo,JAPAN225:N,1787947560,65734.88,65724.89,65739.89,65724.89,7
turbo,JAPAN225:N,1787947620,65724.89,65717.4,65727.39,65714.89,15
turbo,JAPAN225:N,1787947680,65717.4,65717.38,65739.88,65717.38,36
turbo,JAPAN225:N,1787947740,65717.38,65739.88,65742.38,65717.38,15
turbo,JAPAN225:N,1787947800,65742.4,65754.9,65759.88,65742.4,11
turbo,JAPAN225:N,1787947860,65754.9,65744.9,65754.9,65744.9,4
turbo,JAPAN225:N,1787947920,65744.9,65757.38,65759.9,65732.38,21
turbo,JAPAN225:N,1787947980,65759.88,65762.4,65762.4,65759.88,2
turbo,JAPAN225:N,1787948040,65762.4,65762.39,65767.4,65754.88,34
turbo,JAPAN225:N,1787948100,65764.9,65757.38,65764.9,65754.89,26
turbo,JAPAN225:N,1787948160,65754.9,65757.39,65757.39,65752.39,8
turbo,JAPAN225:N,1787948220,65757.39,65759.89,65759.9,65757.39,3
turbo,JAPAN225:N,1787948280,65759.89,65752.4,65759.89,65747.4,6
turbo,JAPAN225:N,1787948340,65752.4,65764.9,65764.9,65752.4,4
turbo,JAPAN225:N,1787948400,65764.9,65762.4,65769.89,65759.9,9
turbo,JAPAN225:N,1787948460,65762.4,65762.4,65764.89,65757.4,15
turbo,JAPAN225:N,1787948520,65762.4,65769.88,65769.88,65757.4,6
turbo,JAPAN225:N,1787948580,65767.39,65767.38,65769.9,65764.88,6
turbo,JAPAN225:N,1787948640,65767.38,65769.88,65769.88,65757.4,13
turbo,JAPAN225:N,1787948700,65769.88,65769.89,65774.9,65769.88,23
turbo,JAPAN225:N,1787948760,65769.89,65769.89,65772.39,65767.39,4
turbo,JAPAN225:N,1787948820,65769.89,65767.38,65769.89,65764.89,4
turbo,JAPAN225:N,1787948880,65767.38,65757.38,65767.38,65757.38,8
turbo,JAPAN225:N,1787948940,65757.38,65754.89,65757.39,65754.88,8
turbo,JAPAN225:N,1787949000,65754.89,65759.9,65767.38,65754.89,32
turbo,JAPAN225:N,1787949060,65759.9,65752.4,65762.39,65752.4,5
turbo,JAPAN225:N,1787949120,65752.4,65754.9,65754.9,65747.38,15
turbo,JAPAN225:N,1787949180,65754.9,65752.38,65754.9,65744.88,6
turbo,JAPAN225:N,1787949240,65752.38,65752.39,65752.4,65744.9,24
