tipo,activo,from,open,close,max,min,volume
turbo,UK100-OTC,1788130260,10774.634595,10773.896975,10775.508255,10772.465555,0
turbo,UK100-OTC,1788130320,10773.850025,10782.589115,10782.888105,10773.850025,0
turbo,UK100-OTC,1788130380,10782.562865,10781.936445,10783.589825,10780.092695,0
turbo,UK100-OTC,1788130440,10781.785375,10788.107065,10788.107065,10781.014245,0
turbo,UK100-OTC,1788130500,10787.739275,10789.398745,10790.078575,10787.153935,0
turbo,UK100-OTC,1788130560,10789.421705,10786.486155,10791.417005,10786.486155,0
turbo,UK100-OTC,1788130620,10787.540235,10779.208835,10787.540235,10778.749975,0
turbo,UK100-OTC,1788130680,10779.235495,10780.810085,10781.207315,10779.235495,0
turbo,UK100-OTC,1788130740,10780.564285,10782.510805,10783.452865,10780.399745,0
turbo,UK100-OTC,1788130800,10781.895695,10777.103165,10782.775125,10776.359315,0
turbo,UK100-OTC,1788130860,10777.232335,10780.432385,10782.006505,10777.232335,0
turbo,UK100-OTC,1788130920,10780.404935,10780.534145,10783.069045,10779.134285,0
turbo,UK100-OTC,1788130980,10780.435355,10783.053925,10784.267185,10780.259845,0
turbo,UK100-OTC,1788131040,10783.062405,10783.459065,10784.588025,10781.879295,0
turbo,UK100-OTC,1788131100,10783.855845,10790.629185,10791.798995,10783.301315,0
turbo,UK100-OTC,1788131160,10791.227185,10793.391315,10794.086805,10791.227185,0
turbo,UK100-OTC,1788131220,10793.365985,10792.087605,10794.244375,10790.724965,0
turbo,UK100-OTC,1788131280,10792.035785,10791.133915,10795.362865,10790.706935,0
turbo,UK100-OTC,1788131340,10791.176955,10792.949965,10793.596265,10790.347335,0
turbo,UK100-OTC,1788131400,10792.929915,10796.779875,10796.790915,10791.598095,0
turbo,UK100-OTC,1788131460,10796.746685,10793.324135,10799.641805,10793.256855,0
turbo,UK100-OTC,1788131520,10793.362425,10789.412635,10793.658805,10789.027255,0
turbo,UK100-OTC,1788131580,10789.380495,10797.078935,10797.338335,10787.848305,0
turbo,UK100-OTC,1788131640,10797.083725,10797.393965,10798.700665,10795.707025,0
turbo,UK100-OTC,1788131700,10797.434745,10797.402855,10802.502445,10796.701515,0
turbo,UK100-OTC,1788131760,10797.553415,10795.503895,10799.966285,10795.503895,0
turbo,UK100-OTC,1788131820,10793.952515,10794.491525,10798.002615,10792.680225,0
turbo,UK100-OTC,1788131880,10794.507325,10793.320785,10796.770545,10791.729645,0
turbo,UK100-OTC,1788131940,10793.190145,10790.054015,10794.524225,10790.054015,0
turbo,UK100-OTC,1788132000,10790.046645,10789.749735,10790.273475,10787.786555,0
turbo,UK100-OTC,1788132060,10789.880745,10794.590025,10796.194355,10789.857395,0
turbo,UK100-OTC,1788132120,10794.881195,10789.084985,10796.242715,10789.084985,0
turbo,UK100-OTC,1788132180,10789.087685,10791.157205,10793.877555,10788.634515,0
turbo,UK100-OTC,1788132240,10792.096015,10791.516115,10793.552875,10788.768325,0
turbo,UK100-OTC,1788132300,10791.497455,10790.546085,10791.886095,10788.764055,0
turbo,UK100-OTC,1788132360,10790.578245,10792.805515,10793.440965,10789.350285,0
turbo,UK100-OTC,1788132420,10792.974695,10799.327725,10799.447985,10792.594485,0
turbo,UK100-OTC,1788132480,10799.353075,10802.128725,10802.926455,10799.347765,0
turbo,UK100-OTC,1788132540,10802.183075,10802.229145,10803.394065,10800.328625,0
turbo,UK100-OTC,1788132600,10802.159635,10803.757455,10805.202785,10801.282095,0
turbo,UK100-OTC,1788132660,10803.944165,10797.717575,10805.117155,10797.403795,0
turbo,UK100-OTC,1788132720,10797.730975,10797.686005,10798.839815,10795.727125,0
turbo,UK100-OTC,1788132780,10796.705115,10797.421035,10797.465085,10795.191845,0
turbo,UK100-OTC,1788132840,10797.415475,10799.925585,10802.132835,10796.985615,0
turbo,UK100-OTC,1788132900,10799.858235,10793.909895,10799.884845,10793.909895,0
turbo,UK100-OTC,1788132960,10793.856765,10792.186015,10793.856765,10788.905665,0
turbo,UK100-OTC,1788133020,10792.209235,10793.603175,10795.326395,10791.661125,0
turbo,UK100-OTC,1788133080,10793.409735,10797.985595,10799.137125,10792.458155,0
turbo,UK100-OTC,1788133140,10798.023515,10800.101455,10800.801655,10797.123045,0
turbo,UK100-OTC,1788133200,10800.098435,10796.978105,10801.055455,10796.067375,0
turbo,UK100-OTC,1788133260,10797.063455,10795.457095,10797.312925,10794.858005,0
turbo,UK100-OTC,1788133320,10795.476995,10796.820425,10796.820425,10793.616875,0
turbo,UK100-OTC,1788133380,10796.806315,10794.517435,10796.994395,10793.411515,0
turbo,UK100-OTC,1788133440,10794.448575,10792.860135,10794.824595,10791.111065,0
turbo,UK100-OTC,1788133500,10792.645665,10789.906005,10792.802755,10789.811675,0
turbo,UK100-OTC,1788133560,10789.937905,10787.729365,10792.153395,10787.539605,0
turbo,UK100-OTC,1788133620,10787.880835,10785.844005,10787.972655,10784.237775,0
turbo,UK100-OTC,1788133680,10785.841665,10781.932655,10785.841665,10781.335655,0
turbo,UK100-OTC,1788133740,10781.867295,10782.373685,10782.618095,10779.871805,0
turbo,UK100-OTC,1788133800,10782.222995,10781.593085,10784.001725,10780.328615,0
turbo,UK100-OTC,1788133860,10781.555325,10780.031925,10782.006625,10778.165155,0
turbo,UK100-OTC,1788133920,10779.997045,10776.230165,10782.243175,10775.992915,0
turbo,UK100-OTC,1788133980,10776.181825,10775.261295,10776.181825,10771.151535,0
turbo,UK100-OTC,1788134040,10775.274495,10777.179595,10779.215715,10775.041955,0
turbo,UK100-OTC,1788134100,10777.173555,10770.110035,10777.461655,10770.110035,0
turbo,UK100-OTC,1788134160,10770.232045,10767.707155,10770.294415,10766.702585,0
turbo,UK100-OTC,1788134220,10767.708005,10763.488565,10767.808735,10763.488565,0
turbo,UK100-OTC,1788134280,10763.508825,10761.296055,10764.638455,10759.617085,0
turbo,UK100-OTC,1788134340,10761.359495,10760.100575,10763.194695,10759.764675,0
turbo,UK100-OTC,1788134400,10759.938225,10759.974845,10763.165525,10759.520715,0
turbo,UK100-OTC,1788134460,10759.993045,10766.392045,10766.392045,10759.832025,0
turbo,UK100-OTC,1788134520,10766.613195,10763.704355,10767.544255,10761.930845,0
turbo,UK100-OTC,1788134580,10763.660545,10757.924245,10763.812405,10757.487195,0
turbo,UK100-OTC,1788134640,10757.891715,10756.450095,10758.476485,10754.468105,0
turbo,UK100-OTC,1788134700,10756.806215,10760.162075,10760.826045,10755.481885,0
turbo,UK100-OTC,1788134760,10760.015875,10760.298875,10763.065445,10758.552725,0
turbo,UK100-OTC,1788134820,10759.908665,10760.530115,10761.260085,10759.033435,0
turbo,UK100-OTC,1788134880,10760.690285,10758.692255,10764.435425,10758.132615,0
turbo,UK100-OTC,1788134940,10758.713235,10765.042755,10766.070445,10757.863005,0
turbo,UK100-OTC,1788135000,10765.035655,10760.186215,10767.277965,10760.134585,0
turbo,UK100-OTC,1788135060,10760.206805,10760.480865,10760.709895,10756.521025,0
turbo,UK100-OTC,1788135120,10760.853955,10758.324995,10761.229435,10758.098765,0
turbo,UK100-OTC,1788135180,10758.301505,10757.027285,10758.670485,10754.871695,0
turbo,UK100-OTC,1788135240,10756.943315,10757.385715,10759.021805,10755.985065,0
turbo,UK100-OTC,1788135300,10757.823255,10756.186225,10759.962945,10755.988315,0
turbo,UK100-OTC,1788135360,10756.079795,10761.875855,10761.875855,10755.706065,0
turbo,UK100-OTC,1788135420,10761.763895,10757.177705,10762.814485,10757.024745,0
turbo,UK100-OTC,1788135480,10757.396465,10755.971525,10757.396465,10754.884485,0
