tipo,activo,from,open,close,max,min,volume
turbo,US30-OTC,1788130320,52855.880425,52803.726285,52856.917805,52797.300045,0
turbo,US30-OTC,1788130380,52804.748955,52796.104655,52822.183755,52768.096415,0
turbo,US30-OTC,1788130440,52796.291385,52786.570355,52809.865715,52765.817485,0
turbo,US30-OTC,1788130500,52786.070395,52794.112575,52810.520505,52786.070395,0
turbo,US30-OTC,1788130560,52795.641105,52791.219685,52812.852095,52781.615295,0
turbo,US30-OTC,1788130620,52791.325225,52786.143585,52809.745405,52775.838775,0
turbo,US30-OTC,1788130680,52787.538305,52767.639605,52806.303425,52762.099725,0
turbo,US30-OTC,1788130740,52768.521835,52750.572115,52776.845015,52748.314835,0
turbo,US30-OTC,1788130800,52750.750225,52773.759885,52790.523305,52720.462155,0
turbo,US30-OTC,1788130860,52773.830575,52753.557595,52785.323755,52747.988735,0
turbo,US30-OTC,1788130920,52754.883705,52708.872685,52777.845385,52694.370305,0
turbo,US30-OTC,1788130980,52707.533695,52710.542295,52733.828955,52692.340965,0
turbo,US30-OTC,1788131040,52711.200705,52712.101315,52722.412895,52673.093985,0
turbo,US30-OTC,1788131100,52711.854095,52718.084195,52725.644585,52697.661505,0
turbo,US30-OTC,1788131160,52718.514285,52716.809415,52736.311855,52704.210755,0
turbo,US30-OTC,1788131220,52714.186885,52706.750975,52728.654945,52693.835245,0
turbo,US30-OTC,1788131280,52706.653025,52714.697305,52724.066425,52689.790095,0
turbo,US30-OTC,1788131340,52711.880915,52687.256405,52725.005405,52683.388225,0
turbo,US30-OTC,1788131400,52687.641575,52705.874475,52705.874475,52654.552705,0
turbo,US30-OTC,1788131460,52704.792055,52693.985575,52727.540465,52684.586345,0
turbo,US30-OTC,1788131520,52693.731625,52718.111415,52748.226745,52691.209655,0
turbo,US30-OTC,1788131580,52713.142375,52737.030555,52751.305955,52695.722515,0
turbo,US30-OTC,1788131640,52736.808105,52790.281675,52793.306905,52732.624185,0
turbo,US30-OTC,1788131700,52792.831655,52778.469565,52813.983625,52777.751605,0
turbo,US30-OTC,1788131760,52777.950805,52789.645465,52805.340515,52767.834985,0
turbo,US30-OTC,1788131820,52790.034595,52836.673115,52842.419185,52789.877915,0
turbo,US30-OTC,1788131880,52837.531285,52842.944865,52855.708805,52816.591255,0
turbo,US30-OTC,1788131940,52842.750235,52854.240595,52883.845275,52840.710305,0
turbo,US30-OTC,1788132000,52854.329705,52885.945425,52886.897395,52835.247725,0
turbo,US30-OTC,1788132060,52887.771445,52893.522015,52901.063485,52866.346515,0
turbo,US30-OTC,1788132120,52892.548985,52937.167065,52940.899475,52892.184865,0
turbo,US30-OTC,1788132180,52937.537185,52891.419405,52961.172275,52890.070105,0
turbo,US30-OTC,1788132240,52888.947265,52926.880105,52954.907485,52876.215395,0
turbo,US30-OTC,1788132300,52927.195865,52894.001985,52941.147315,52889.016035,0
turbo,US30-OTC,1788132360,52894.030545,52873.329225,52908.509545,52863.628155,0
turbo,US30-OTC,1788132420,52873.921145,52821.601445,52891.288135,52821.601445,0
turbo,US30-OTC,1788132480,52819.702045,52842.680585,52846.884045,52812.270695,0
turbo,US30-OTC,1788132540,52841.558905,52852.696805,52854.656545,52830.116545,0
turbo,US30-OTC,1788132600,52855.084225,52883.160735,52907.038435,52852.511375,0
turbo,US30-OTC,1788132660,52873.551035,52991.768775,52991.768775,52864.785645,0
turbo,US30-OTC,1788132720,52992.356185,52916.931335,52992.380815,52908.293405,0
turbo,US30-OTC,1788132780,52913.743485,52919.219635,52930.151905,52889.440705,0
turbo,US30-OTC,1788132840,52919.379845,52941.515945,52948.273475,52913.878185,0
turbo,US30-OTC,1788132900,52936.964415,52925.097755,52953.609185,52920.155035,0
turbo,US30-OTC,1788132960,52928.334555,52938.885225,52944.827955,52912.285805,0
turbo,US30-OTC,1788133020,52938.868345,52928.888285,52973.051315,52915.747885,0
turbo,US30-OTC,1788133080,52927.436895,52925.816065,52958.249805,52917.248555,0
turbo,US30-OTC,1788133140,52927.275725,52874.217715,52944.520095,52865.368235,0
turbo,US30-OTC,1788133200,52875.661915,52893.093785,52902.066025,52852.530685,0
turbo,US30-OTC,1788133260,52892.272805,52877.035705,52909.567265,52872.687395,0
turbo,US30-OTC,1788133320,52877.243785,52856.239245,52881.498985,52855.742945,0
turbo,US30-OTC,1788133380,52855.955305,52861.065935,52878.666305,52826.237655,0
turbo,US30-OTC,1788133440,52860.447655,52844.159385,52869.287935,52827.233215,0
turbo,US30-OTC,1788133500,52842.076325,52839.853015,52857.512295,52821.246635,0
turbo,US30-OTC,1788133560,52839.561965,52868.386585,52869.651315,52833.747305,0
turbo,US30-OTC,1788133620,52869.940755,52810.887865,52869.940755,52809.768905,0
turbo,US30-OTC,1788133680,52811.011905,52794.288025,52818.198825,52752.792905,0
turbo,US30-OTC,1788133740,52794.114255,52810.179375,52837.048165,52794.114255,0
turbo,US30-OTC,1788133800,52812.099885,52804.260325,52823.600315,52793.121825,0
turbo,US30-OTC,1788133860,52799.397045,52823.010095,52832.056795,52798.261085,0
turbo,US30-OTC,1788133920,52819.669365,52804.924895,52843.112835,52797.937385,0
turbo,US30-OTC,1788133980,52805.420705,52829.278215,52829.540445,52788.298065,0
turbo,US30-OTC,1788134040,52826.941645,52840.813805,52851.852965,52820.295265,0
turbo,US30-OTC,1788134100,52840.676035,52843.977565,52878.519135,52830.046905,0
turbo,US30-OTC,1788134160,52839.490445,52834.572495,52862.767345,52827.321785,0
turbo,US30-OTC,1788134220,52834.189175,52862.663165,52878.647185,52821.524595,0
turbo,US30-OTC,1788134280,52864.291325,52810.015365,52869.507945,52809.035745,0
turbo,US30-OTC,1788134340,52809.678165,52791.197805,52835.337995,52783.467605,0
turbo,US30-OTC,1788134400,52790.565475,52756.687135,52793.149735,52749.150545,0
turbo,US30-OTC,1788134460,52754.521355,52751.368965,52769.943585,52717.440345,0
turbo,US30-OTC,1788134520,52748.224525,52750.123885,52750.623575,52717.518745,0
turbo,US30-OTC,1788134580,52750.932135,52743.623105,52764.283765,52713.416905,0
turbo,US30-OTC,1788134640,52745.795825,52835.682235,52835.682235,52740.002615,0
turbo,US30-OTC,1788134700,52837.526465,52867.841885,52869.071045,52829.417885,0
turbo,US30-OTC,1788134760,52866.689815,52950.777045,52952.186095,52866.689815,0
turbo,US30-OTC,1788134820,52948.608975,53001.159065,53021.679225,52948.396215,0
turbo,US30-OTC,1788134880,53001.200325,53008.027695,53015.669255,52988.847805,0
turbo,US30-OTC,1788134940,53007.074155,53010.177575,53019.764725,52972.015985,0
turbo,US30-OTC,1788135000,53011.216295,52999.110645,53041.124035,52983.411515,0
turbo,US30-OTC,1788135060,52999.670635,53026.850935,53049.792925,52998.381835,0
turbo,US30-OTC,1788135120,53029.527015,53021.005635,53042.870655,53021.005635,0
turbo,US30-OTC,1788135180,53018.524225,53009.249285,53057.134615,53006.763435,0
turbo,US30-OTC,1788135240,53008.932735,53027.215315,53027.641175,53001.718685,0
