nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
FAMILIA,FAMILIA|REVERSIÓN,1467,719,748,49.01,0.0,NEUTRO,ALTA,49.01,46.47,51.55,True,1467,50.1,51.12,45.81,5.31,-4.29,1,0.333,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REVERSIÓN|TENDENCIA,925,466,459,50.38,0.0,NEUTRO,ALTA,50.35,47.17,53.54,True,925,51.46,50.0,49.68,1.78,-1.78,3,1.0,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|REVERSIÓN|CALL,738,364,374,49.32,0.0,NEUTRO,ALTA,49.32,45.76,52.88,True,738,53.66,47.15,47.15,6.51,-6.51,1,0.333,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|REVERSIÓN|PUT,729,355,374,48.7,0.0,NEUTRO,ALTA,48.71,45.13,52.29,True,729,48.56,53.09,44.44,8.65,-4.12,2,0.667,US2000-OTC,put,REVERSIÓN,RANGO,INDEFINIDA,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REVERSIÓN|RANGO,542,253,289,46.68,-2.22,DEBIL,ALTA,46.77,42.65,50.89,True,542,49.72,50.83,39.44,11.39,-10.28,1,0.333,US2000-OTC,put,REVERSIÓN,RANGO,INDEFINIDA,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN|INDEFINIDA,499,235,264,47.09,-2.15,DEBIL,ALTA,47.18,42.89,51.47,True,499,53.29,46.39,41.57,11.72,-11.72,2,0.667,US2000-OTC,put,REVERSIÓN,RANGO,INDEFINIDA,,,,
FAMILIA,FAMILIA|REACCIÓN_ZONA,468,226,242,48.29,0.0,NEUTRO,ALTA,48.33,43.9,52.76,True,468,46.15,53.21,45.51,7.7,-0.64,2,0.667,USDSGD-OTC,put,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|REVERSIÓN+SWEEP_BAJISTA+SWEEP_RUPTURA_CONFIRMABLE,338,161,177,47.63,-2.06,DEBIL,ALTA,47.72,42.56,52.89,True,338,47.79,51.33,43.75,7.58,-4.04,2,0.667,UKOUSD-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|REVERSIÓN+SWEEP_ALCISTA+SWEEP_RUPTURA_CONFIRMABLE,322,164,158,50.93,0.0,NEUTRO,ALTA,50.83,45.54,56.12,True,322,55.56,51.4,45.79,9.77,-9.77,2,0.667,LUNA-OTC,call,REVERSIÓN,RANGO,ALCISTA_DEBIL,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REACCIÓN_ZONA|TENDENCIA,293,142,151,48.46,0.0,NEUTRO,ALTA,48.51,42.99,54.04,True,293,44.9,61.22,39.18,22.04,-5.72,2,0.667,USDSGD-OTC,put,REACCIÓN_ZONA,TENDENCIA,ALCISTA_DEBIL,,,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|REACCIÓN_ZONA|PUT,290,144,146,49.66,0.0,NEUTRO,ALTA,49.63,44.07,55.19,True,290,48.45,56.7,43.75,12.95,-4.7,1,0.333,USDSGD-OTC,put,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN|BAJISTA_DEBIL,257,131,126,50.97,0.0,NEUTRO,ALTA,50.85,44.97,56.73,True,257,58.14,46.51,48.24,11.63,-9.9,1,0.333,NZDJPY-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_DEBIL,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN|ALCISTA_DEBIL,248,132,116,53.23,0.0,NEUTRO,ALTA,52.93,46.96,58.89,True,248,50.6,60.24,48.78,11.46,-1.82,2,0.667,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|PUT|REVERSIÓN|RANGO|INDEFINIDA,215,95,120,44.19,-2.64,DEBIL,ALTA,44.62,38.27,50.96,True,215,52.78,45.83,33.8,18.98,-18.98,2,0.667,US2000-OTC,put,REVERSIÓN,RANGO,INDEFINIDA,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|INDEFINIDA+PUT+RANGO+REVERSIÓN,215,95,120,44.19,-2.64,DEBIL,ALTA,44.62,38.27,50.96,True,215,52.78,45.83,33.8,18.98,-18.98,2,0.667,US2000-OTC,put,REVERSIÓN,RANGO,INDEFINIDA,,,,
