Conectando a IQ Option...
Conectado correctamente
Cuenta seleccionada: PRACTICE
Actualizando OPCODE ligero binary/turbo...
Total de activos en OPCODE: 632
OPCODE ligero actualizado correctamente
Obteniendo balance inicial...
Balance inicial: 9497.86
Operaciones pendientes recuperadas: 0
D7.6D TIMING BALANCE | antes: 38 | despues: 38 | demora: 0.157

Balance: 9497.86 | Neto: 0.0 | Abiertas: 0

Balance: 9497.86 | Neto: 0.0 | Abiertas: 0
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226942.73
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226942.99
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226943.25
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226943.5
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226943.77
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226944.02
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226944.27
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226944.53
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226944.8
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226945.05
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226945.3
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226945.55
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226945.8
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226946.06
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226946.31
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226946.57
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226946.82
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226947.08
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226947.33
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226947.6
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226947.85
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226948.11
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226948.36
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226948.61
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226948.88
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226949.13
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226949.39
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226949.65
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226949.91
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226950.16
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226950.41
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226950.68
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226950.93
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226951.18
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226951.44
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226951.7
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226951.96
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226952.22
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226952.47
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226952.74
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226952.99
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226953.24
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226953.5
D7.6A PRECALENTANDO CACHE FUERA DE VENTANA | edad: 1789226954.79
D7.6D REFRESH INCREMENTAL INICIADO | universo: 305
D7.6D REFRESH INCREMENTAL PAUSADO | indice: 54 / 305 | candidatos: 8 | demora: 11.601
D7.6D TIMING OBTENER ACTIVOS | antes: 12 | despues: 23 | demora: 11.601
D7.6D TIMING PRECARGA TOTAL | antes: 12 | despues: 23 | demora: 11.601
D7.6D TIMING BALANCE | antes: 23 | despues: 23 | demora: 0.154

Balance: 9497.86 | Neto: 0.0 | Abiertas: 0

===== ESTADÍSTICAS POR ESTRATEGIA =====
liquidity sweep alcista | total: 3 | ganadas: 3 | perdidas: 0 | winrate: 100.0% | neto: 64.0
reacción compradora en soporte | total: 48 | ganadas: 27 | perdidas: 21 | winrate: 56.25% | neto: 48.75
continuación alcista con tendencia | total: 2 | ganadas: 2 | perdidas: 0 | winrate: 100.0% | neto: 43.5
continuación bajista con tendencia | total: 32 | ganadas: 18 | perdidas: 14 | winrate: 56.25% | neto: 30.5
CHOCH alcista | total: 74 | ganadas: 40 | perdidas: 34 | winrate: 54.05% | neto: -4.5
pullback bajista a EMA | total: 101 | ganadas: 54 | perdidas: 47 | winrate: 53.47% | neto: -29.5
pullback alcista a EMA | total: 9 | ganadas: 2 | perdidas: 7 | winrate: 22.22% | neto: -131.5
reacción vendedora en resistencia | total: 52 | ganadas: 24 | perdidas: 28 | winrate: 46.15% | neto: -197.75

===== ESTADÍSTICAS POR ACTIVO =====
TRUMPUSD-OTC | total: 5 | ganadas: 5 | perdidas: 0 | winrate: 100.0% | neto: 104.75
SP35-OTC | total: 7 | ganadas: 6 | perdidas: 1 | winrate: 85.71% | neto: 98.75
COCOA-OTC | total: 3 | ganadas: 3 | perdidas: 0 | winrate: 100.0% | neto: 64.0
DASHUSD-OTC | total: 3 | ganadas: 3 | perdidas: 0 | winrate: 100.0% | neto: 63.5
FB-OTC | total: 3 | ganadas: 3 | perdidas: 0 | winrate: 100.0% | neto: 62.75
USDTHB-OTC | total: 5 | ganadas: 4 | perdidas: 1 | winrate: 80.0% | neto: 58.5
GDX | total: 2 | ganadas: 2 | perdidas: 0 | winrate: 100.0% | neto: 43.5
GEV-OTC | total: 2 | ganadas: 2 | perdidas: 0 | winrate: 100.0% | neto: 43.5
PENGUUSD-OTC | total: 2 | ganadas: 2 | perdidas: 0 | winrate: 100.0% | neto: 43.5
GS-OTC | total: 2 | ganadas: 2 | perdidas: 0 | winrate: 100.0% | neto: 43.0
SHIBUSD-OTC | total: 2 | ganadas: 2 | perdidas: 0 | winrate: 100.0% | neto: 42.25
GBPNZD-OTC | total: 2 | ganadas: 2 | perdidas: 0 | winrate: 100.0% | neto: 41.75
SNAP-OTC | total: 2 | ganadas: 2 | perdidas: 0 | winrate: 100.0% | neto: 41.75
USDINR-OTC | total: 2 | ganadas: 2 | perdidas: 0 | winrate: 100.0% | neto: 41.75
HYPE-OTC | total: 2 | ganadas: 2 | perdidas: 0 | winrate: 100.0% | neto: 41.0
USDZAR-OTC | total: 2 | ganadas: 2 | perdidas: 0 | winrate: 100.0% | neto: 41.0
CANNABIS-OTC | total: 4 | ganadas: 3 | perdidas: 1 | winrate: 75.0% | neto: 40.25
XRPUSD-OTC | total: 4 | ganadas: 3 | perdidas: 1 | winrate: 75.0% | neto: 39.25
CHFJPY-OTC | total: 4 | ganadas: 3 | perdidas: 1 | winrate: 75.0% | neto: 38.5
EURAUD-OTC | total: 4 | ganadas: 3 | perdidas: 1 | winrate: 75.0% | neto: 38.0
USDDOP-OTC | total: 4 | ganadas: 3 | perdidas: 1 | winrate: 75.0% | neto: 38.0
USDCLP-OTC | total: 6 | ganadas: 4 | perdidas: 2 | winrate: 66.67% | neto: 35.75
APPLE-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.75
AUS200:N | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.75
CADJPY-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.75
EURCAD-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.75
FARTCOINUSD-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.75
IMXUSD-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.75
MU-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.75
NIKE-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.75
NZDCHF-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.75
NZDJPY-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.75
SMH | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.75
SUIUSD-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.75
WDC-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.75
UK100:N | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.5
BIDU-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.25
DOTUSD-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.25
